"id","firstname","lastname","nik","email","born","date_of_birth","address","city","phone","job","color","created_at","updated_at"
199,Galuh,Sinaga,"6411240802205838",ipuspita@gmail.com,Administrasi Jakarta Utara,1980-01-25,"Ki. Untung Suropati No. 226, Yogyakarta 36231, Jateng",Serang,"0312 6064 0805",Penata Busana,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
200,Qori,Nainggolan,"3274430108964806",julia83@yahoo.com,Blitar,1998-12-19,"Jln. Ronggowarsito No. 569, Tanjungbalai 46567, Papua",Batu,(+62) 605 4501 7620,Programmer,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
201,Tugiman,Oktaviani,"7326166005161584",lembah65@gmail.co.id,Probolinggo,2012-07-15,"Ki. Bappenas No. 174, Binjai 63401, DIY",Banjarbaru,(+62) 866 0901 2835,Wiraswasta,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
202,Keisha,Gunawan,"1408001404228950",oliva26@gmail.co.id,Payakumbuh,2023-08-20,"Kpg. Baladewa No. 224, Mataram 87621, Sulsel",Ambon,(+62) 461 4066 995,Karyawan BUMN,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
203,Betania,Halimah,"1406876803003284",purwanti.harto@gmail.co.id,Probolinggo,2016-10-22,"Jln. Bak Mandi No. 304, Tomohon 69778, DKI",Manado,"0286 3965 3842",Pelaut,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
204,Danuja,Nashiruddin,"3604405001951846",koko33@gmail.co.id,Malang,1995-07-08,"Dk. Baranang Siang No. 721, Palembang 12925, Gorontalo",Surabaya,(+62) 894 503 225,Tukang Gigi,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
205,Ifa,Nababan,"1403322406968803",zalindra92@yahoo.co.id,Padangsidempuan,2012-10-27,"Kpg. Sutarto No. 155, Palembang 31785, Gorontalo",Kediri,(+62) 27 5092 3219,Pialang,biru laut,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
206,Sarah,Mayasari,"5104120907970749",hfujiati@gmail.co.id,Langsa,2010-09-03,"Psr. Untung Suropati No. 198, Yogyakarta 63968, Sumbar",Parepare,"0674 6444 1928",Paraji,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
207,Hafshah,Andriani,"3278020304994701",dian25@yahoo.com,Kendari,2003-05-09,"Jr. Eka No. 714, Bau-Bau 46918, Jatim",Tomohon,(+62) 389 8851 360,Buruh Harian Lepas,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
208,Kania,Aryani,"3573791405138245",vicky00@gmail.co.id,Tanjungbalai,1970-01-12,"Kpg. Flora No. 849, Samarinda 86124, Banten",Metro,"0474 0986 7905",Pramugari,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
209,Ami,Pradipta,"3205745301076446",natalia.prayoga@yahoo.co.id,Administrasi Jakarta Timur,2006-09-09,"Ki. Haji No. 743, Yogyakarta 35024, Jatim",Cilegon,"0904 0236 854",Konstruksi,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
210,Nurul,Wijayanti,"1106805410085661",cici.mustofa@gmail.com,Blitar,1987-02-07,"Jr. Gotong Royong No. 744, Kotamobagu 38414, Gorontalo",Makassar,(+62) 815 455 373,Buruh Peternakan,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
211,Padma,Iswahyudi,"8171902603182424",iuyainah@yahoo.com,Blitar,1971-03-13,"Jln. Pasteur No. 188, Pariaman 63213, Sulteng",Pasuruan,(+62) 23 5191 184,Dosen,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
212,Eka,Pranowo,"3571890908055055",yunita.purwanti@yahoo.com,Surabaya,1997-12-24,"Kpg. Lada No. 253, Palopo 86856, Jateng",Lhokseumawe,"0895 0534 3308",Peternak,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
213,Laila,Sinaga,"7109530205204138",opan.hidayat@yahoo.com,Binjai,2010-04-13,"Ki. PHH. Mustofa No. 876, Banda Aceh 38484, Riau",Padang,(+62) 634 6498 074,Peneliti,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
214,Liman,Nashiruddin,"1406621604087072",kamal83@gmail.com,Administrasi Jakarta Barat,1980-09-22,"Ds. Supono No. 333, Tangerang Selatan 26228, Kalsel",Bukittinggi,(+62) 25 4558 6988,Pialang,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
215,Harjaya,Utama,"5202255002033977",ciaobella.winarno@yahoo.co.id,Lhokseumawe,1974-08-02,"Dk. Arifin No. 918, Salatiga 90292, Sulsel",Tidore Kepulauan,(+62) 817 5712 027,Industri,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
216,Carla,Suartini,"1507955706960385",palastri.rosman@yahoo.com,Balikpapan,2004-05-08,"Gg. Labu No. 334, Tanjung Pinang 55092, Kepri",Jambi,(+62) 989 2591 7145,Konsultan,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
217,Laswi,Wibisono,"1401122401119071",luwes.budiman@gmail.com,Payakumbuh,1985-10-08,"Jr. Bata Putih No. 532, Batam 10111, Jatim",Bekasi,"0845 8532 264",Biarawati,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
218,Candrakanta,Utami,"7412382112161172",santoso.gangsar@gmail.com,Manado,2007-04-30,"Psr. Agus Salim No. 460, Tual 76548, Papua",Banjarbaru,"0377 0517 5390",Programmer,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
219,Asmianto,Mahendra,"1673541906124823",hhidayanto@yahoo.co.id,Administrasi Jakarta Utara,1981-10-07,"Ds. Bayan No. 878, Banjarmasin 38240, DKI",Magelang,"0872 7930 241",Pramugari,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
220,Xanana,Yuniar,"8202246406110735",haryanto.puput@yahoo.com,Yogyakarta,2016-12-12,"Ki. Yosodipuro No. 670, Padangpanjang 14271, Sulbar",Administrasi Jakarta Barat,"0773 7266 456",Konstruksi,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
221,Nasim,Rahimah,"3526751412104257",ira66@yahoo.com,Ternate,2002-07-19,"Jr. Perintis Kemerdekaan No. 641, Cimahi 99474, Papua",Kupang,"0524 9791 985",Pialang,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
222,Bambang,Lazuardi,"7107044503160356",purnawati.lasmono@yahoo.com,Singkawang,1972-02-12,"Kpg. Jakarta No. 562, Cirebon 49237, DKI",Lubuklinggau,"0575 7853 1446",Bidan,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
223,Laila,Lailasari,"6108592712952576",wlestari@gmail.com,Bitung,1973-03-20,"Psr. Madrasah No. 753, Probolinggo 57233, Sumbar",Balikpapan,(+62) 478 4225 0531,Buruh Nelayan / Perikanan,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
224,Marsudi,Purwanti,"3503052704185090",dyuniar@yahoo.co.id,Salatiga,2022-11-06,"Jr. Camar No. 186, Madiun 47881, Sumbar",Tebing Tinggi,"028 8534 0749",Penata Busana,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
225,Alambana,Mustofa,"7412520606081979",firgantoro.atmaja@gmail.com,Administrasi Jakarta Pusat,1982-08-19,"Ki. Gambang No. 564, Bandar Lampung 53699, Jabar",Banda Aceh,"0855 603 908",Masinis,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
226,Hilda,Hassanah,"3302734611173127",fitria29@gmail.co.id,Gorontalo,1980-06-09,"Jln. Baung No. 968, Metro 56539, Sulbar",Padangpanjang,(+62) 447 2920 8290,Pilot,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
227,Prabawa,Lailasari,"1571634103089800",qkurniawan@gmail.co.id,Palopo,1982-08-26,"Jr. Pattimura No. 252, Manado 34214, Kalsel",Prabumulih,(+62) 805 5025 9285,Penerjemah,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
228,Kadir,Yolanda,"7315315806181735",latika.yuniar@gmail.co.id,Tebing Tinggi,2005-09-02,"Jln. Gajah Mada No. 389, Depok 94789, Bengkulu",Ternate,(+62) 492 9836 732,Buruh Nelayan / Perikanan,merah,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
229,Darman,Januar,"6271940412102807",piswahyudi@gmail.com,Palembang,1993-04-13,"Jln. Thamrin No. 809, Lubuklinggau 49041, Kaltara",Sibolga,(+62) 28 0820 287,Psikiater / Psikolog,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
230,Carla,Palastri,"6203231702212603",pandu01@gmail.co.id,Bandar Lampung,1978-03-27,"Dk. Wahid Hasyim No. 350, Tasikmalaya 27748, Pabar",Banjarmasin,"0475 2640 677",Karyawan BUMN,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
231,Prakosa,Santoso,"3324462905230360",csaputra@yahoo.com,Tasikmalaya,1999-07-31,"Ds. Krakatau No. 178, Dumai 10774, Kepri",Ternate,"0507 8174 781",Tukang Batu,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
232,Taufik,Santoso,"3509561810040582",thasanah@yahoo.co.id,Bontang,1985-02-22,"Ki. M.T. Haryono No. 815, Kupang 75760, DKI",Balikpapan,"0998 0646 9231",Bidan,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
233,Usyi,Situmorang,"1572872901148777",jabal.hidayat@gmail.com,Bau-Bau,2010-04-13,"Dk. Suryo Pranoto No. 294, Bukittinggi 59559, Jabar",Palopo,(+62) 649 4518 765,Montir,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
234,Cornelia,Haryanti,"5307652306070453",karya.megantara@gmail.co.id,Ternate,1982-01-01,"Ki. Sugiyopranoto No. 13, Palopo 87202, Kalteng",Banda Aceh,"0444 6981 285",Biarawati,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
235,Sarah,Hariyah,"1608452902002743",adiarja90@yahoo.com,Serang,1988-01-07,"Ki. Ir. H. Juanda No. 973, Solok 81457, Jabar",Metro,(+62) 709 9280 389,Karyawan Honorer,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
236,Aisyah,Irawan,"9119382905981853",irawan.aslijan@gmail.com,Bau-Bau,1999-08-25,"Jln. Jambu No. 541, Parepare 87371, Jatim",Palembang,"0805 0185 297",Penyelam,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
237,Jane,Wahyuni,"7205536502208042",jsantoso@yahoo.co.id,Sorong,1984-09-16,"Gg. Sukajadi No. 287, Madiun 74976, Kalbar",Banjarmasin,"0978 6430 9607",Pengacara,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
238,Pandu,Pranowo,"7503500906212339",sitompul.balidin@yahoo.co.id,Salatiga,1983-03-09,"Ki. Achmad No. 650, Jambi 56746, Sulteng",Banjarbaru,"0813 4324 9765",Pilot,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
239,Winda,Usada,"1220280905212939",jarwa99@yahoo.com,Batu,1985-11-15,"Ki. Yap Tjwan Bing No. 261, Payakumbuh 97163, DIY",Kediri,(+62) 840 8313 766,Presiden,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
240,Hilda,Narpati,"1102625302956932",mahmud77@gmail.co.id,Malang,1994-05-19,"Gg. Pasteur No. 82, Payakumbuh 50323, Sulsel",Bogor,(+62) 287 9059 5576,Nelayan / Perikanan,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
241,Puspa,Hutasoit,"1117574707229616",dabukke.oliva@gmail.com,Kupang,1988-05-24,"Jr. Nakula No. 857, Jambi 79647, Kalteng",Sungai Penuh,(+62) 840 2692 3023,Karyawan BUMD,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
242,Danang,Budiman,"7205846702106994",salwa22@yahoo.com,Bekasi,2017-10-02,"Ki. Achmad No. 753, Magelang 13908, Babel",Administrasi Jakarta Utara,"0202 8605 138",Wartawan,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
243,Julia,Saputra,"3101130105086399",tamba.jono@gmail.com,Pagar Alam,2023-10-11,"Dk. Suryo No. 751, Pontianak 96186, Sulteng",Batam,(+62) 29 3643 4544,Petani / Pekebun,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
244,Marwata,Yolanda,"3206436907976009",gamblang40@gmail.co.id,Binjai,2002-04-14,"Gg. BKR No. 144, Sibolga 64088, Banten",Pariaman,(+62) 356 1248 3626,Tabib,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
245,Ilsa,Nurdiyanti,"6171880805029867",wijaya.ade@yahoo.co.id,Yogyakarta,2007-06-26,"Jr. Halim No. 82, Batam 71026, Papua",Tangerang,(+62) 333 2830 387,Jaksa,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
246,Hafshah,Narpati,"1807210902992764",lili.lazuardi@yahoo.co.id,Tebing Tinggi,1981-12-13,"Gg. Bata Putih No. 269, Mataram 70095, Gorontalo",Probolinggo,(+62) 785 9721 508,Penerjemah,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
247,Putri,Gunarto,"9106804908023617",npurwanti@yahoo.co.id,Bogor,2008-11-13,"Gg. Suryo Pranoto No. 693, Surabaya 48324, Sulsel",Mataram,"025 8928 389",Penata Rias,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
248,Cawisadi,Winarno,"9203062209081814",indah92@yahoo.com,Batu,2018-01-21,"Ki. Imam No. 222, Sungai Penuh 39901, Kalteng",Balikpapan,"0619 4762 341",Imam Masjid,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
249,Karta,Puspita,"3320142703138568",lili71@gmail.co.id,Solok,1987-03-29,"Jr. Setia Budi No. 810, Tual 66141, Sumsel",Lhokseumawe,"0205 9375 786",Kepala Desa,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
250,Eka,Rahimah,"7315034506183140",osuartini@gmail.co.id,Palu,1983-07-23,"Jr. Gading No. 916, Palopo 51077, Malut",Tanjungbalai,(+62) 261 3601 3209,Pramusaji,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
251,Nugraha,Mustofa,"3404831306209425",simanjuntak.ani@gmail.co.id,Sawahlunto,2006-05-10,"Jln. R.E. Martadinata No. 432, Sibolga 19787, Aceh",Padangpanjang,"023 3784 185",Bidan,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
252,Maimunah,Lazuardi,"7503074204040625",ana76@gmail.com,Bekasi,2002-06-09,"Psr. Baranang No. 485, Blitar 39800, NTB",Administrasi Jakarta Pusat,"0878 235 690",Nelayan / Perikanan,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
253,Kemal,Lestari,"9106334206203133",mahesa67@yahoo.com,Pontianak,2007-04-19,"Jln. Basoka No. 854, Sibolga 96162, Banten",Ambon,"0986 1642 660",Wakil Presiden,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
254,Makuta,Marpaung,"7310613112184204",anggraini.kamila@gmail.com,Bengkulu,1989-04-17,"Ds. Gedebage Selatan No. 801, Batu 99260, Malut",Pangkal Pinang,"0447 1174 863",Ustaz / Mubaligh,putih,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
255,Bakti,Budiman,"3523436904084478",pia.rajasa@gmail.com,Pontianak,2001-12-01,"Psr. Babadak No. 653, Tidore Kepulauan 80681, DIY",Bukittinggi,"0258 9888 3021",Akuntan,violet,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
256,Surya,Lestari,"6308085212026588",makara.puspasari@yahoo.co.id,Salatiga,1974-05-11,"Ds. Ters. Buah Batu No. 819, Pematangsiantar 58368, Jabar",Bandar Lampung,(+62) 343 8914 0307,Satpam,biru laut,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
257,Hafshah,Utami,"2171632012987109",malika.wijayanti@yahoo.co.id,Salatiga,1991-09-18,"Gg. Panjaitan No. 876, Banjarbaru 28466, Jabar",Kupang,"0406 6583 115",Sopir,biru dongker,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
258,Rahayu,Prabowo,"7271066006085909",saptono.shakila@yahoo.com,Palopo,2003-04-13,"Ds. Balikpapan No. 538, Banjarmasin 46877, Kalteng",Pariaman,(+62) 880 9903 5708,Buruh Peternakan,merah marun,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
259,Hamima,Purnawati,"3320071302083566",silvia31@yahoo.com,Padangsidempuan,2018-03-20,"Dk. Baung No. 764, Singkawang 79845, Gorontalo",Bukittinggi,(+62) 784 1013 9875,Apoteker,hijau,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
260,Jane,Sitorus,"9115274306090550",karta.laksmiwati@yahoo.com,Tual,1984-06-14,"Kpg. Bakin No. 939, Pematangsiantar 49521, DIY",Yogyakarta,"0432 4522 2965",Programmer,merah,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
261,Endah,Hardiansyah,"8106652303209652",fathonah.napitupulu@yahoo.com,Banjarmasin,1974-12-11,"Jr. Ters. Pasir Koja No. 169, Pontianak 85429, Kalsel",Tanjungbalai,(+62) 501 6418 3376,Pilot,merah marun,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
262,Dwi,Permadi,"9113175803953610",ikhsan.mahendra@yahoo.com,Palopo,2000-04-16,"Ds. B.Agam Dlm No. 529, Pariaman 67183, Sumut",Jayapura,(+62) 425 7615 6951,Bidan,cokelat,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
263,Amelia,Rahmawati,"1801381407218923",laksita.hairyanto@gmail.co.id,Metro,2023-07-23,"Ds. Bak Air No. 943, Bandar Lampung 80029, Bali",Magelang,(+62) 875 806 556,Penata Rias,merah,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
264,Syahrini,Mangunsong,"1704786501164829",nova72@gmail.co.id,Tanjungbalai,2018-08-23,"Kpg. Perintis Kemerdekaan No. 526, Banda Aceh 43295, Kalteng",Pematangsiantar,"0871 6325 2658",Psikiater / Psikolog,kuning,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
265,Prayogo,Prayoga,"8206810502185009",wijaya.zizi@gmail.co.id,Tanjung Pinang,1975-05-22,"Psr. Orang No. 716, Sabang 91529, Papua",Makassar,"0929 4078 645",Pendeta,kuning,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
266,Kusuma,Puspita,"6403750906114097",charyanti@yahoo.com,Samarinda,2023-12-06,"Dk. Ters. Kiaracondong No. 536, Padangpanjang 39964, Sumsel",Binjai,"0261 4035 0448",Pengacara,hijau,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
267,Lalita,Sinaga,"5308101001032035",winarsih.salimah@gmail.com,Bima,2023-03-31,"Gg. Suryo No. 614, Palu 13606, Sulut",Medan,(+62) 608 7666 7566,Penata Rambut,perak,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
268,Jabal,Mahendra,"2171260706238866",titi59@yahoo.co.id,Balikpapan,2001-03-12,"Jln. Jambu No. 618, Bitung 41217, Pabar",Bontang,"0897 1517 8706",Karyawan BUMD,abu-abu,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
269,Garda,Widiastuti,"7402732405142203",prasetyo.karsa@gmail.com,Tanjung Pinang,2024-01-01,"Ki. Orang No. 893, Probolinggo 28528, Sumsel",Sorong,(+62) 815 6579 6722,Penambang,abu-abu,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
270,Wira,Lazuardi,"8171835003001633",laksita.irnanto@gmail.com,Kendari,2011-03-15,"Gg. Basket No. 41, Tomohon 55494, DKI",Sawahlunto,(+62) 474 6166 6555,Petani / Pekebun,mawar,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
271,Kemba,Wahyudin,"5310974904238618",olivia04@yahoo.co.id,Dumai,1974-10-05,"Psr. Tambak No. 306, Banjarbaru 31043, Jateng",Pangkal Pinang,(+62) 803 2003 7255,Penyelam,biru,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
272,Yance,Waluyo,"7301026610218342",udongoran@yahoo.com,Pasuruan,2016-08-08,"Kpg. R.E. Martadinata No. 26, Parepare 36951, Sulteng",Bengkulu,"025 5649 997",Satpam,perak,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
273,Kambali,Pratiwi,"1374452505961073",halim.elma@gmail.co.id,Kupang,2015-10-11,"Jln. Laswi No. 595, Banjarmasin 73997, Maluku",Bandar Lampung,"0294 3375 296",Akuntan,putih,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
274,Nova,Wijaya,"1112515507182902",nurdiyanti.tania@gmail.com,Palembang,2006-06-24,"Psr. Cut Nyak Dien No. 17, Banda Aceh 94649, DKI",Tegal,(+62) 464 4441 4521,Satpam,hitam,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
275,Bambang,Thamrin,"3375755406208210",novi77@gmail.com,Kendari,1995-05-09,"Psr. Sadang Serang No. 50, Administrasi Jakarta Timur 87817, Sumbar",Balikpapan,"0446 9939 388",Wiraswasta,sepia,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
276,Diana,Susanti,"3527614906230556",betania.lailasari@yahoo.co.id,Surabaya,2011-07-17,"Jr. Qrisdoren No. 613, Jayapura 97703, Sumbar",Bandung,"0896 2088 5424",Konstruksi,hitam,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
277,Endra,Handayani,"9108755904015174",susanti.gamanto@gmail.com,Pariaman,1977-09-04,"Jln. Baladewa No. 457, Kupang 99007, Sulsel",Batu,(+62) 882 510 397,Seniman,hitam,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
278,Hasna,Permata,"1220174612157064",fsiregar@gmail.com,Administrasi Jakarta Timur,1986-11-25,"Jln. Baiduri No. 115, Malang 70479, Sulut",Jayapura,"0327 5805 448",Wartawan,krem,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
279,Puput,Saputra,"6403084701169299",belinda05@yahoo.com,Padang,1991-08-30,"Ki. Yoga No. 30, Tarakan 34191, Jatim",Padang,(+62) 601 0593 080,Nahkoda,merah jambu,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
280,Ida,Mayasari,"3211896905039999",harjasa.wulandari@yahoo.com,Bogor,2017-09-18,"Gg. Sukajadi No. 746, Magelang 44885, Pabar",Yogyakarta,"0828 8518 4458",Imam Masjid,violet,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
281,Bala,Budiman,"3327074505134436",sinaga.hasna@yahoo.co.id,Kendari,2006-07-16,"Jr. Suryo Pranoto No. 416, Gorontalo 62700, Sulut",Mojokerto,"0932 9694 435",Kepala Desa,cokelat,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
282,Kemal,Adriansyah,"6209881804162605",vega.halimah@gmail.com,Medan,1999-11-26,"Kpg. Jamika No. 233, Salatiga 65142, Maluku",Tasikmalaya,"0444 7040 7895",Penambang,biru laut,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
283,Vera,Agustina,"9205591207167401",nsaputra@yahoo.co.id,Bandar Lampung,1979-01-21,"Gg. Barasak No. 733, Tangerang 21102, DIY",Prabumulih,"024 2207 877",Pedagang,nila,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
284,Raditya,Utama,"9206715706995851",safitri.lasmanto@yahoo.com,Sungai Penuh,2018-05-15,"Ki. Raden Saleh No. 823, Sawahlunto 37277, Sulbar",Ambon,"0995 8497 0196",Pegawai Negeri Sipil (PNS),biru dongker,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
285,Harto,Prasasta,"6203415605160622",qrahimah@yahoo.com,Pangkal Pinang,2011-12-01,"Jr. Ahmad Dahlan No. 870, Subulussalam 10908, Bengkulu",Makassar,(+62) 869 234 456,Seniman,merah,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
286,Lala,Hutasoit,"3217482204946689",nnurdiyanti@gmail.co.id,Sabang,2022-01-23,"Gg. Katamso No. 750, Pematangsiantar 79705, DIY",Sabang,(+62) 21 1310 9502,Penyiar Televisi,nila,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
287,Indra,Latupono,"7210552501066739",narji58@gmail.com,Bitung,1973-06-05,"Jln. Barat No. 567, Jayapura 69170, Lampung",Bima,(+62) 22 7798 9722,Pemandu Wisata,biru laut,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
288,Almira,Melani,"1278161402988661",laksita.rahman@yahoo.co.id,Banjarmasin,2021-07-03,"Dk. Imam Bonjol No. 505, Bandar Lampung 24317, Jatim",Batu,"0649 1642 563",Masinis,ungu,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
289,Among,Wastuti,"9112910506962047",jarwa48@yahoo.com,Sabang,1983-10-24,"Gg. Kali No. 542, Malang 88780, NTT",Madiun,"0867 952 228",Tukang Las / Pandai Besi,hitam,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
290,Calista,Nuraini,"5108255006075347",usamah.febi@gmail.com,Batam,1972-10-28,"Psr. Basoka Raya No. 415, Kotamobagu 95723, Banten",Yogyakarta,(+62) 352 2667 425,Konsultan,biru dongker,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
291,Hardi,Andriani,"6309130811978901",handayani.mila@yahoo.co.id,Gunungsitoli,1970-07-22,"Jln. Elang No. 495, Pekanbaru 98377, Babel",Batu,(+62) 993 7142 673,Montir,zaitun,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
292,Kayun,Nasyidah,"6301245407193333",rpranowo@yahoo.co.id,Medan,1995-01-28,"Ds. Abdul Rahmat No. 52, Palembang 65527, Sulsel",Administrasi Jakarta Timur,"0587 6281 925",Tukang Cukur,violet,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
293,Puti,Purnawati,"9206345008197541",bagas.astuti@gmail.com,Sungai Penuh,2001-03-29,"Jr. Baiduri No. 28, Kupang 46566, Maluku",Administrasi Jakarta Utara,(+62) 511 2953 242,Tukang Sol Sepatu,jingga,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
294,Edison,Yulianti,"3374690301128469",kusumo.dinda@gmail.co.id,Cilegon,1999-07-18,"Jr. Nangka No. 690, Kendari 77319, Gorontalo",Binjai,"0597 7986 5150",Buruh Harian Lepas,hijau,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
295,Galang,Fujiati,"5304232509168725",vwijaya@yahoo.com,Pariaman,1983-09-05,"Jr. Bagonwoto  No. 892, Palopo 90749, Sulbar",Tanjung Pinang,"0245 3146 0450",Pembantu Rumah Tangga,kuning,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
296,Jatmiko,Pratiwi,"3573580706008988",usada.argono@gmail.co.id,Tebing Tinggi,2019-06-18,"Jr. Bappenas No. 279, Administrasi Jakarta Timur 71134, Aceh",Bogor,"0939 1768 9377",Peternak,merah,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
297,Hesti,Irawan,"3317164807237010",julia10@gmail.com,Serang,1999-01-18,"Dk. Aceh No. 895, Semarang 36590, Lampung",Malang,(+62) 564 4511 1269,Tukang Las / Pandai Besi,merah,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
298,Zulaikha,Hartati,"6303924403963490",vivi.yuniar@gmail.com,Sungai Penuh,1985-11-25,"Dk. Gajah No. 660, Semarang 72279, Sumsel",Kendari,"0293 9817 444",Pelaut,teal,2024-02-14 22:39:45.000,2024-02-14 22:39:45.000
